,test_acc,test_teacher/acc,test_loss,test_eval,train_acc,train_teacher/acc,train_loss,train_eval,epoch,lr,resume,epochs,pre,train_batch_size,test_batch_size,student,teacher,distillation,last_layer,student_layer,teacher_layer,layer,transform,dataset,exp_name
81,55.09,93.94,0.0879686708691754,4.023331693456143,21.064,21.838,0.004099696264852343,12.868223382993733,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",15,56,1,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
82,57.31,93.94,0.08345784265783769,3.656704462027248,21.14,21.834,0.004120081108744683,12.887419620133421,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",26,219,2,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
83,62.9,93.94,0.08748649730335308,2.904230902466593,20.856,21.616,0.005901129006424828,12.87616035090688,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_max,"KD,T-8",55,239,3,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
84,56.54,93.94,0.08899969390675991,4.039114605022382,21.058,21.814,0.004158870602274299,12.873398041786135,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",6,26,0,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
85,58.67,93.94,0.083131196000908,3.6867648378203186,21.022,21.902,0.0042140159334349055,12.874907132609726,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",15,56,1,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
86,55.37,93.94,0.08973756159030938,3.8831194080883944,21.026,21.764,0.004327477141142921,12.83533111435678,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",26,219,2,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
87,64.6,93.94,0.09763610146090954,2.770206332206726,21.04,21.858,0.009188119355408126,12.933013818453036,50,0.001,False,50,50,128,128,MobileNet,ResNet101,att_mean,"KD,T-8",55,239,3,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
88,62.48,93.94,106.48175174375123,2.975135486337203,21.232,21.764,87.58251674095993,12.845939706963346,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",6,26,0,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
89,64.59,93.94,425.8369202432753,3.0713701338707646,21.216,21.754,140.57934648362573,12.865287727102295,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",15,56,1,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
90,65.2,93.94,49566.502147819425,2.7878467659407025,20.948,21.706,306.5646742018287,12.932939780642615,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",26,219,2,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
91,19.17,93.94,31521.86338998698,11.734646495384506,15.486,21.844,10.294810663098874,13.599050465752097,50,0.001,False,50,50,128,128,MobileNet,ResNet101,hint,"KD,T-8",55,239,3,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
92,45.86,93.94,0.15138177366196354,5.4196543150310275,21.13,21.872,0.019580702361700786,12.789571230368846,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",6,26,0,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
93,60.8,93.94,0.10726175419514693,3.1705756911748573,20.97,21.702,0.011545010299309898,12.90823557675647,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",15,56,1,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
94,57.72,93.94,0.09632568278267414,3.9373908223985117,21.14,21.834,0.006204748862063336,12.907918249554646,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",26,219,2,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
95,67.95,93.94,0.08788336539947533,2.3861185251911983,21.15,21.728,0.007962463330715666,12.903589834032767,50,0.001,False,50,50,128,128,MobileNet,ResNet101,nst_linear,"KD,T-8",55,239,3,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
96,54.37,93.94,0.0900879803149006,4.193795370150216,21.178,21.846,0.0040614573342149215,12.859696434586859,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",6,26,0,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
97,57.7,93.94,0.0859038737378543,3.7823708027224,21.068,21.854,0.004129693478993748,12.86480021903582,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",15,56,1,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
98,49.22,93.94,0.09988725581501104,5.2263925467865375,21.268,21.912,0.004118251228404929,12.847013429607577,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",26,219,2,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
99,58.6,93.94,0.08326716136328782,3.4998230541808697,21.132,21.65,0.004083666374640125,12.874384309324768,50,0.001,False,50,50,128,128,MobileNet,ResNet101,PKT,"KD,T-8",55,239,3,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
100,78.39,93.94,0.03578148159799697,1.6209319618683826,21.494,21.682,0.002331842916965237,12.953998333962677,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",10,26,0,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
101,78.46,93.94,0.03760904493399813,1.5317668499825876,21.496,21.804,0.002411825449891922,12.999575712491788,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",23,56,1,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
102,79.68,93.94,0.036836452051242696,1.5460084348539762,21.558,21.806,0.002404301229607114,12.98401778433329,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",35,219,2,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
103,83.25,93.94,0.03460821756928027,1.1087233684485471,21.636,21.758,0.0032434782544460594,12.986555865353635,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_max,"KD,T-8",46,239,3,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
104,79.98,93.94,0.03365051404490501,1.5032795697827883,21.562,21.836,0.0023228108803705905,12.979203048569467,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",10,26,0,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
105,78.02,93.94,0.038910186413345454,1.5852482884745054,21.56,21.738,0.002364494882183402,12.931869009266729,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",23,56,1,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
106,79.07,93.94,0.03887694682690162,1.564240328118771,21.382,21.728,0.0024451853366821165,12.970501707033122,50,0.001,False,50,50,128,128,ResNet18,ResNet101,att_mean,"KD,T-8",35,219,2,"noise,0.30000000000000004","cifar10,",noise/0.30000000000000004
